rank,hover,alpha,size,ctrl,num_props
1,ST,7.570129556713795,0.06857492739368957,3125.4972833323245,4
9,ST,5.139572790577609,2.497952241249854,23.565192235099857,8
2,ST,9.491861818466537,0.24791072176849208,1038.11783764713,6
16,SP,9.094139642609298,0.13763583566379856,0.0,5
6,ST,6.950875694026999,0.8808847833760831,253.22339399221704,8
21,SP,3.4912161475454284,0.607491893134425,0.0,4
7,ST,4.17941047831492,0.9867604613095796,187.05923955441813,8
23,N,0.0,0.0390292390683168,0.0,4
2,ST,6.002501747435685,0.09035874393106594,3369.6693513773525,5
23,N,0.0,12.393308202451955,0.0,7
12,ST,1.6786717989992193,21.76839182506794,0.8987660633754025,6
23,N,0.0,0.235042952813966,0.0,5
6,ST,6.679645191956657,0.6313326158930525,237.51887908799108,8
17,SP,5.271620127896254,0.07743871841598807,0.0,4
4,ST,7.422600432960245,0.3223005225056553,967.7652594518048,8
23,N,0.0,0.10384897587073613,0.0,5
1,ST,7.043722685097384,0.16825857823254875,4802.281115736968,6
3,ST,6.141201290675027,0.18445799920404551,812.0499210054184,5
5,ST,7.3339283880356,1.173019906488225,261.33071789976026,8
11,ST,3.501275192699658,3.160105528612768,6.339724580105276,5
5,ST,5.7666893712992895,0.3822939455673559,173.7143638978561,7
2,ST,6.050869765487335,0.08303933016104763,1512.1221759541982,4
3,ST,8.839550392721181,0.28634057747365205,1098.4928060048248,8
8,ST,6.186757702223763,1.3739698440633892,130.0210587922657,8
15,SP,10.645145955565603,0.1387123185126368,0.0,5
21,SP,6.152637208884484,0.8855712758619008,0.0,5
18,SP,9.14553367821786,0.4258840869842343,0.0,8
7,ST,3.874966057818004,0.8930333898317031,142.07761071554103,8
8,ST,5.0320259171715875,1.3362795938421006,147.61895078499364,8
3,ST,6.142039253224392,0.2525322535269439,727.4056890487642,6
17,SP,9.371978709380285,0.4103961508463457,0.0,6
12,ST,2.1433162841123967,23.13957560056319,1.3734512754275108,7
23,N,0.0,0.03938462624022356,0.0,4
7,ST,7.2103043967999385,2.412900657663195,48.46151585686547,8
10,ST,4.384379883295585,2.824926951300418,18.615144377489703,7
5,ST,7.070073188552752,0.6042534567807526,391.42546224581,6
1,ST,7.43995350911119,0.1460161075285421,4787.841285502471,7
