rank,hover,alpha,size,ctrl,num_props,quad_flag,distance
1,ST,12.521664907781728,0.04237671353693857,46451.63185931991,5,0,0.0036216210510509788
1,ST,12.209917567203252,0.04129896712966004,52409.56311835031,5,0,0.012235709983962539
1,ST,12.29439188641626,0.0415595456472421,50648.79838638995,5,0,0.007984461178883703
1,ST,11.720184577165101,0.028126084988606633,117386.41094050831,4,0,0.013084351555646868
1,ST,12.42302630018958,0.042595273174200816,49655.78793749416,5,0,0.012319909065825096
1,ST,12.521346421086175,0.04243467713064479,49020.45551358077,5,0,0.01794187631815132
1,ST,12.239464659578625,0.04158340939561444,52045.04539730679,5,0,0.014387275209015837
1,ST,11.134078130821703,0.027600442714599688,138151.68604295587,4,0,0.03120092168693461
1,ST,11.59084690735377,0.027508716029011122,122015.09977554015,4,0,0.006364772069922683
1,ST,12.407136731417527,0.042241858322231714,47239.009596970805,5,0,0.004818892143620896
1,ST,11.330441632803124,0.026998638275502376,129633.84511225807,4,0,0.02054864476594362
1,ST,12.059997442302507,0.04064205945779522,51285.05064596317,5,0,0.010277685792484151
1,ST,11.960406579940573,0.04029476600161231,53591.08873065052,5,0,0.4195002810624214
1,ST,12.419282152142548,0.04207876605962693,46991.12028711006,5,0,0.0030469295219119905
1,ST,11.456469267987336,0.027043376601997675,129422.38173386957,4,0,0.007126735664292403
1,ST,12.077148950154859,0.04054413700663478,50865.94136955785,5,0,0.005287984391204243
1,ST,12.26655620068738,0.040466528017259584,47667.20010214721,5,0,0.015048582997732375
1,ST,11.507164808126078,0.027296968289067663,125672.64730112186,4,0,0.013205876746993972
1,ST,12.316539309252034,0.04166565311850506,50936.229159591516,5,0,0.009071641411269926
1,ST,9.729281470710475,0.025629488217826072,123234.58525623045,4,0,0.16111257763538608
1,ST,11.577958475190938,0.027512352438024225,124652.11016844712,4,0,0.009713091187614016
1,ST,11.312835181761924,0.026780816271999366,135056.42207581352,4,0,0.022163315970161357
1,ST,10.944906324088345,0.026227145991274937,131995.01176959215,4,0,0.05014861618671856
1,ST,11.381949429905736,0.02738275665750612,130714.38261224334,4,0,0.023926436979268093
1,ST,11.544655050212524,0.02767341977954474,128935.888950697,4,0,0.010007264970997057
1,ST,11.721685943563134,0.028154535239548636,114256.54800840201,4,0,0.018972422244244353
1,ST,12.185917211757376,0.04088685329184487,52154.176614622054,5,0,0.014737451877904557
1,ST,12.565025865172363,0.043576546290939884,46934.34166104685,5,0,0.011135092885525397
1,ST,12.544009189358464,0.04334351403726011,46698.80982445261,5,0,0.01285590249355384
1,ST,11.518066438524817,0.027165515065129466,124412.24544462492,4,0,0.009458412466627337
1,ST,12.862397174403084,0.04527648214860455,40821.05211965734,5,0,0.20861960371463253
1,ST,11.456941764240003,0.02700600877011322,126003.79982005837,4,0,0.006870152918100609
1,ST,12.14737805127849,0.04093903717638757,52198.28104243332,5,0,0.011514564862025106
1,ST,11.322681638263493,0.026887255968601774,129184.38077718463,4,0,0.0069664627307875395
1,ST,11.169693583909657,0.026847084377021213,137506.0045518914,4,0,0.040483883081258734
1,ST,12.398761202800216,0.04147623508129378,50120.25526848055,5,0,0.007864069682239726
1,ST,12.381040578893508,0.0418334820796032,51033.20407146592,5,0,0.01086295987005523
1,ST,11.635737889678502,0.02730539539873648,117493.31061108745,4,0,0.015941356216720517
1,ST,11.439324363837814,0.026833770382365375,124632.93230183938,4,0,0.010711528318618593
1,ST,11.534643923112466,0.02721705294929842,122411.81770880024,4,0,0.008203771754576997
1,ST,11.51844887127499,0.027352874735209275,125362.42372169583,4,0,0.004009026601647239
1,ST,12.14240144074918,0.04071909103919431,50734.33893658953,5,0,0.016850936535153523
1,ST,12.404760224356382,0.04211362301924155,48287.162717515515,5,0,0.006358718854897381
1,ST,11.41181047430154,0.0274455035609831,129549.03873602391,4,0,0.008011170311867748
1,ST,12.283521036420254,0.04211586454312177,51299.71344746268,5,0,0.00905831327319389
1,ST,11.136988465985945,0.026493412490525704,133786.17484480116,4,0,0.018424059573389554
1,ST,12.349839863146768,0.041650610078163765,50231.62927252562,5,0,0.012096250147691499
1,ST,11.594086350953267,0.0272634218641126,121655.92876213057,4,0,0.0056567493284954565
1,ST,12.76491949849032,0.04435862350070199,44756.118168643654,5,0,0.03445381555090358
1,ST,12.464497413818476,0.0423531848683126,48252.6755921891,5,0,0.015507320406138182
1,ST,12.663073300693807,0.04220408256794708,45108.714237967004,5,0,0.015269799509158109
